StockCode,description,unit_price
10002,INFLATABLE POLITICAL GLOBE ,0.85
10080,GROOVY CACTUS INFLATABLE,0.39
10109,BENDY COLOUR PENCILS,0.42
10120,DOGGY RUBBER,0.21
10125,MINI FUNKY DESIGN TAPES,0.85
10133,COLOURING PENCILS BROWN TUBE,0.83
10134,COLOURING PENCILS BROWN TUBE,1.25
10135,COLOURING PENCILS BROWN TUBE,1.25
10138,ASSORTED COLOUR JUMBO PEN,0.42
11001,ASSTD DESIGN RACING CAR PEN,1.69
15030,FAN BLACK FRAME ,0.29
15034,PAPER POCKET TRAVELING FAN ,0.14
15036,ASSORTED COLOURS SILK FAN,0.83
15039,SANDALWOOD FAN,0.85
16008,SMALL FOLDING SCISSOR(POINTED EDGE),0.12
16010,FOLDING CAMPING SCISSOR W/KNIF & S,0.12
16011, ANIMAL STICKERS,0.21
16012,FOOD/DRINK SPUNGE STICKERS,0.21
16014,SMALL CHINESE STYLE SCISSOR,0.42
16015,MEDIUM CHINESE STYLE SCISSOR,0.5
16016,LARGE CHINESE STYLE SCISSOR,0.85
16033,MINI HIGHLIGHTER PENS,0.12
16043,POP ART PUSH DOWN RUBBER ,0.42
16044,POP-ART FLUORESCENT PENS,0.42
16045,POPART WOODEN PENCILS ASST,0.04
16046,TEATIME PEN CASE & PENS,0.85
16047,POP ART PEN CASE & PENS,0.85
16048,TEATIME ROUND PENCIL SHARPENER ,0.12
16049,TEATIME GEL PENS ASST,0.42
16050,TEATIME PENCIL WITH RUBBER,0.4
16051,TEATIME PENCIL W STAMP ASST,0.42
16052,TEATIME PUSH DOWN RUBBER,0.42
16053,POPART COL BALLPOINT PEN ASST,0.21
16054,POPART RECT PENCIL SHARPENER ASST,0.12
16119,FUNKY GIRL ADDRESS BOOK,1.25
16192,PINK BALLET OPENING CUBE BOX ,4.3
16212,FUNKY GIRLZ ASST MAGNETIC MEMO PAD,0.65
16215,FUNKY GIRLZ MAGNETIC TO DO LIST ,0.65
16216,LETTER SHAPE PENCIL SHARPENER,0.16
16218,CARTOON  PENCIL SHARPENERS,0.16
16219,HOUSE SHAPE PENCIL SHARPENER,0.21
